asin,captcha,title,brand,manufacturer,description,images,price,stars,ratings_quantity,time,is_empty,id,category,method,is_valid
B0C294ZLTR,False,True,False,False,True,True,True,True,False,3.739464282989502,False,94,home_and_kitchen,SELENIUM_BARE,False
B0764HS4SL,False,True,True,True,True,True,True,True,True,4.077682018280029,False,95,home_and_kitchen,SELENIUM_BARE,False
B00030L5HY,False,True,True,False,True,True,False,True,True,3.0070621967315674,False,96,home_and_kitchen,SELENIUM_BARE,False
B087JJ3M15,False,True,True,False,True,True,True,True,True,4.755533933639526,False,97,home_and_kitchen,SELENIUM_BARE,False
B0CJF94M8J,False,True,True,True,True,True,True,True,True,3.68356990814209,False,98,home_and_kitchen,SELENIUM_BARE,False
B0BJL5MYG8,False,True,True,True,True,True,True,True,True,3.7081661224365234,False,99,home_and_kitchen,SELENIUM_BARE,False
B09TT9TFSN,False,True,True,True,True,True,True,True,True,3.933354616165161,False,100,home_and_kitchen,SELENIUM_BARE,False
B074PVTPBW,False,True,True,False,True,True,False,True,True,3.118468999862671,False,101,beauty_and_personal_care,SELENIUM_BARE,False
B07PBXXNCY,False,True,True,False,True,True,True,True,True,4.052556991577148,False,102,beauty_and_personal_care,SELENIUM_BARE,False
B081KL2QYJ,False,True,True,False,True,True,False,True,True,2.727756977081299,False,103,beauty_and_personal_care,SELENIUM_BARE,False
B08KT2Z93D,False,True,True,False,True,True,True,True,True,3.5747337341308594,False,104,beauty_and_personal_care,SELENIUM_BARE,False
B00U2VQZDS,False,True,True,False,True,True,True,True,True,4.1376519203186035,False,105,beauty_and_personal_care,SELENIUM_BARE,False
B00T0C9XRK,False,True,True,False,True,True,True,True,True,2.9747140407562256,False,106,beauty_and_personal_care,SELENIUM_BARE,False
B0B2RM68G2,False,True,True,False,True,True,True,True,True,3.6696248054504395,False,107,beauty_and_personal_care,SELENIUM_BARE,False
B09541P9WH,False,True,True,False,True,True,True,True,True,3.8247008323669434,False,108,beauty_and_personal_care,SELENIUM_BARE,False
B00AINMFAC,False,True,True,False,True,True,False,True,True,3.0857808589935303,False,109,beauty_and_personal_care,SELENIUM_BARE,False
B01AXQP6AE,False,True,True,False,True,True,True,True,True,3.936922788619995,False,110,beauty_and_personal_care,SELENIUM_BARE,False
B0B9HMX9VC,False,True,True,False,False,True,True,True,True,3.7006819248199463,False,111,beauty_and_personal_care,SELENIUM_BARE,False
B01N9SPQHQ,False,True,True,False,False,True,False,True,True,2.7495791912078857,False,112,beauty_and_personal_care,SELENIUM_BARE,False
B0CDH47BN9,False,True,True,False,True,True,True,True,True,3.8922250270843506,False,113,beauty_and_personal_care,SELENIUM_BARE,False
B00MEDOY2G,False,True,True,False,True,True,True,True,True,3.8961598873138428,False,114,beauty_and_personal_care,SELENIUM_BARE,False
B07N7PK9QK,False,True,True,False,True,True,False,True,True,3.0759940147399902,False,115,beauty_and_personal_care,SELENIUM_BARE,False
B09VFKGL92,False,True,True,True,True,True,True,True,True,4.1364829540252686,False,116,beauty_and_personal_care,SELENIUM_BARE,False
B00TTD9BRC,False,True,True,False,True,True,True,True,True,4.074639081954956,False,117,beauty_and_personal_care,SELENIUM_BARE,False
B09542G9ZN,False,True,True,False,True,True,True,True,True,3.891853094100952,False,118,beauty_and_personal_care,SELENIUM_BARE,False
B08H3JPH74,False,True,True,False,True,True,True,True,True,3.8035149574279785,False,119,beauty_and_personal_care,SELENIUM_BARE,False
B0BT1WL6KY,False,True,True,False,True,True,True,True,True,3.848984956741333,False,120,beauty_and_personal_care,SELENIUM_BARE,False
B0787GLBMV,False,True,True,False,True,True,True,True,True,4.247288703918457,False,121,beauty_and_personal_care,SELENIUM_BARE,False
B00PBX3L7K,False,True,False,False,True,True,False,True,True,3.1091041564941406,False,122,beauty_and_personal_care,SELENIUM_BARE,False
B00949CTQQ,False,True,True,False,False,True,True,True,True,3.6783461570739746,False,123,beauty_and_personal_care,SELENIUM_BARE,False
B0BX2TZZWG,False,True,True,False,True,True,True,True,True,3.5313358306884766,False,124,beauty_and_personal_care,SELENIUM_BARE,False
B010GNWPMQ,False,True,True,False,True,True,True,True,True,3.5759949684143066,False,125,beauty_and_personal_care,SELENIUM_BARE,False
B07BMYD4NX,False,True,True,False,True,True,True,True,True,3.6403729915618896,False,126,beauty_and_personal_care,SELENIUM_BARE,False
B09MFMCTRK,False,True,True,False,True,True,True,True,True,4.103628635406494,False,127,beauty_and_personal_care,SELENIUM_BARE,False
B07QZ5CTTF,False,True,True,False,True,True,False,True,True,2.524043083190918,False,128,beauty_and_personal_care,SELENIUM_BARE,False
B07RK4HST7,False,True,True,False,True,True,True,True,True,4.071063756942749,False,129,beauty_and_personal_care,SELENIUM_BARE,False
B00SNPCSUY,False,True,True,False,True,True,True,True,True,3.775684118270874,False,130,beauty_and_personal_care,SELENIUM_BARE,False
B01MSSDEPK,False,True,True,False,True,True,True,True,True,4.134081840515137,False,131,beauty_and_personal_care,SELENIUM_BARE,False
B08H4FSGDX,False,True,True,False,True,True,False,True,True,3.50520396232605,False,132,beauty_and_personal_care,SELENIUM_BARE,False
B09SP2XHKT,False,True,True,False,True,True,True,True,True,3.8744499683380127,False,133,beauty_and_personal_care,SELENIUM_BARE,False
B01BMMOAFU,False,True,True,False,True,True,True,True,True,3.6587181091308594,False,134,beauty_and_personal_care,SELENIUM_BARE,False
B0BVPNQW1C,False,True,True,False,True,True,True,True,True,3.6508102416992188,False,135,beauty_and_personal_care,SELENIUM_BARE,False
B000IEMGGE,False,True,False,False,True,True,True,True,True,3.7702181339263916,False,136,beauty_and_personal_care,SELENIUM_BARE,False
B088W7L534,False,True,True,False,True,True,True,True,True,4.292225122451782,False,137,beauty_and_personal_care,SELENIUM_BARE,False
B0CMJXGCFQ,False,True,True,False,True,True,True,True,True,4.0286359786987305,False,138,beauty_and_personal_care,SELENIUM_BARE,False
B004Y9GTOO,False,True,False,False,True,True,True,True,True,5.495923042297363,False,139,beauty_and_personal_care,SELENIUM_BARE,False
B079FV6PRH,False,True,True,False,True,True,True,True,True,4.181346654891968,False,140,beauty_and_personal_care,SELENIUM_BARE,False
B08SNSSTPZ,False,True,False,False,False,True,True,True,True,4.1101202964782715,False,141,beauty_and_personal_care,SELENIUM_BARE,False
B000H3EO3O,False,True,True,False,True,True,True,True,True,3.863363027572632,False,142,beauty_and_personal_care,SELENIUM_BARE,False
B07GKVBQDG,False,True,True,False,True,True,True,True,True,4.434357166290283,False,143,beauty_and_personal_care,SELENIUM_BARE,False
B0BLXZ4YBJ,False,True,False,False,False,True,True,True,True,3.2872259616851807,False,144,beauty_and_personal_care,SELENIUM_BARE,False
B01HTJTMF8,False,True,True,False,True,True,True,True,True,3.8750579357147217,False,145,beauty_and_personal_care,SELENIUM_BARE,False
B09W18N3GT,False,True,True,False,False,True,False,True,True,2.6740331649780273,False,146,beauty_and_personal_care,SELENIUM_BARE,False
B07GB3NVN1,False,True,True,False,True,True,True,True,True,4.15405797958374,False,147,beauty_and_personal_care,SELENIUM_BARE,False
B0054LHI5A,False,True,True,False,True,True,True,True,True,4.053401947021484,False,148,beauty_and_personal_care,SELENIUM_BARE,False
B06XF2TR11,False,True,True,False,True,True,True,True,True,3.6713998317718506,False,149,beauty_and_personal_care,SELENIUM_BARE,False
B00WAJAKOU,False,True,True,True,True,True,True,True,True,4.1391589641571045,False,150,beauty_and_personal_care,SELENIUM_BARE,False
B07MWSXPT1,False,True,True,False,True,True,True,True,True,4.146691083908081,False,151,beauty_and_personal_care,SELENIUM_BARE,False
B085WR175L,False,True,True,False,True,True,True,True,True,3.6915931701660156,False,152,beauty_and_personal_care,SELENIUM_BARE,False
B08HYW2MKG,False,True,True,False,True,True,True,True,True,3.869940996170044,False,153,beauty_and_personal_care,SELENIUM_BARE,False
