title,brand,manufacturer,description,images,price,time,asin,stars,ratings_quantity,is_empty,id,category,method,is_valid
True,True,True,True,True,True,14.952850103378296,B081KL2QYJ,True,True,False,103,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.021615743637085,B08KT2Z93D,True,True,False,104,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.41621994972229,B00U2VQZDS,True,True,False,105,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.057373046875,B00T0C9XRK,True,True,False,106,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,14.917727947235107,B0B2RM68G2,True,True,False,107,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.034349918365479,B09541P9WH,True,True,False,108,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,13.26260781288147,B00AINMFAC,True,True,False,109,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.957478761672974,B01AXQP6AE,True,True,False,110,beauty_and_personal_care,RAINFOREST,False
True,True,True,False,True,False,9.66037893295288,B0B9HMX9VC,True,True,False,111,beauty_and_personal_care,RAINFOREST,False
True,True,True,False,True,True,8.745388984680176,B01N9SPQHQ,True,True,False,112,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.135446071624756,B0CDH47BN9,True,True,False,113,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.159096002578735,B00MEDOY2G,True,True,False,114,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.501943111419678,B07N7PK9QK,True,True,False,115,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.908511877059937,B09VFKGL92,True,True,False,116,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,19.530440092086792,B00TTD9BRC,True,True,False,117,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.14217233657837,B09542G9ZN,True,True,False,118,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.87147307395935,B08H3JPH74,True,True,False,119,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.79290509223938,B0BT1WL6KY,True,True,False,120,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.023406744003296,B0787GLBMV,True,True,False,121,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.126532793045044,B00PBX3L7K,True,True,False,122,beauty_and_personal_care,RAINFOREST,False
True,True,True,False,True,True,24.808946132659912,B00949CTQQ,True,True,False,123,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,11.194569110870361,B0BX2TZZWG,True,True,False,124,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.434051036834717,B010GNWPMQ,True,True,False,125,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.158527851104736,B07BMYD4NX,True,True,False,126,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.742326021194458,B09MFMCTRK,True,True,False,127,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,13.854414939880371,B07QZ5CTTF,True,True,False,128,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,14.903705835342407,B07RK4HST7,True,True,False,129,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,24.081198930740356,B00SNPCSUY,True,True,False,130,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.01510500907898,B01MSSDEPK,True,True,False,131,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.558449268341064,B08H4FSGDX,True,True,False,132,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.474370002746582,B09SP2XHKT,True,True,False,133,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.087837219238281,B01BMMOAFU,True,True,False,134,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,11.676935911178589,B0BVPNQW1C,True,True,False,135,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.084650993347168,B000IEMGGE,True,True,False,136,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,11.233045816421509,B088W7L534,True,True,False,137,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.116266965866089,B0CMJXGCFQ,True,True,False,138,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.719756841659546,B004Y9GTOO,True,True,False,139,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.435193061828613,B079FV6PRH,True,True,False,140,beauty_and_personal_care,RAINFOREST,False
True,True,True,False,True,True,9.688518047332764,B08SNSSTPZ,True,True,False,141,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.005005836486816,B000H3EO3O,True,True,False,142,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,13.889287233352661,B07GKVBQDG,True,True,False,143,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.90475583076477,B0BLXZ4YBJ,True,True,False,144,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.1268949508667,B01HTJTMF8,True,True,False,145,beauty_and_personal_care,RAINFOREST,False
True,True,True,False,True,True,12.58051872253418,B09W18N3GT,True,True,False,146,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,11.148372888565063,B07GB3NVN1,True,True,False,147,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.451273918151855,B0054LHI5A,True,True,False,148,beauty_and_personal_care,RAINFOREST,False
True,True,False,True,True,False,7.887017011642456,B06XF2TR11,True,True,False,149,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,8.619904041290283,B00WAJAKOU,True,True,False,150,beauty_and_personal_care,RAINFOREST,False
True,True,False,True,True,True,5.808000087738037,B07MWSXPT1,True,True,False,151,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,False,10.980103969573975,B085WR175L,True,True,False,152,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.674620866775513,B08HYW2MKG,True,True,False,153,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,11.206146001815796,B000TG63EW,True,True,False,154,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,11.11848497390747,B00365DABC,True,True,False,155,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,11.226921319961548,B004WRCXRA,True,True,False,156,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,28.948081016540527,B002RS6JSA,True,True,False,157,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.150588750839233,B0B9YDQTXN,True,True,False,158,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.58118987083435,B014E2D6BY,True,True,False,159,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.224426984786987,B0914XZT2W,True,True,False,160,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,19.03681206703186,B07L1PHSY9,True,True,False,161,beauty_and_personal_care,RAINFOREST,False
True,True,True,False,True,True,9.5646390914917,B01N34XW93,True,True,False,162,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.665332317352295,B0BN2PX8V3,True,True,False,163,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.772993087768555,B01N1LL62W,True,True,False,164,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.140316009521484,B0BC29LL92,True,True,False,165,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,13.020105838775635,B00D13DGFY,True,True,False,166,beauty_and_personal_care,RAINFOREST,False
True,True,True,False,True,True,14.99299931526184,B07DY2QRF6,True,True,False,167,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,7.624546051025391,B00SK71SAG,True,True,False,168,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,13.743681192398071,B085S8DGWT,True,True,False,169,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,11.61101484298706,B01648QPVE,True,True,False,170,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,7.474898099899292,B0BNLWJ6QJ,True,True,False,171,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,12.635658979415894,B0BBSPM876,True,True,False,172,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,17.963027238845825,B07SFL7FXJ,True,True,False,173,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,11.0086510181427,B00F97FHAW,True,True,False,174,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.011958122253418,B004BD107O,True,True,False,175,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.727938890457153,B0B6CMT476,True,True,False,176,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,11.280850887298584,B005G9E9AW,True,True,False,177,beauty_and_personal_care,RAINFOREST,False
True,True,False,True,True,True,8.280534029006958,B07GRD5WLD,True,True,False,178,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.275667905807495,B074Y8LM6T,True,True,False,179,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.157000064849854,B08CQ9T6KN,True,True,False,180,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,False,12.90416693687439,B01M4MCUAF,True,True,False,181,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,10.038069009780884,B08V3JGB1F,True,True,False,182,beauty_and_personal_care,RAINFOREST,False
True,True,True,True,True,True,9.179567813873291,B004INIW1Y,True,True,False,183,beauty_and_personal_care,RAINFOREST,False
