asin,title,brand,manufacturer,description,images,price,time,is_empty,id,category,method,is_valid
B00T0C9XRK,True,True,True,True,True,True,0.5211038589477539,False,106,beauty_and_personal_care,SPAPI,False
B0B2RM68G2,True,True,True,True,True,True,0.5320348739624023,False,107,beauty_and_personal_care,SPAPI,False
B09541P9WH,True,True,True,True,True,True,0.5678870677947998,False,108,beauty_and_personal_care,SPAPI,False
B00AINMFAC,True,True,True,True,True,True,0.5140233039855957,False,109,beauty_and_personal_care,SPAPI,False
B01AXQP6AE,True,True,True,True,True,True,0.5169200897216797,False,110,beauty_and_personal_care,SPAPI,False
B0B9HMX9VC,True,True,True,True,True,True,0.518002986907959,False,111,beauty_and_personal_care,SPAPI,False
B01N9SPQHQ,True,True,True,True,True,True,0.5166301727294922,False,112,beauty_and_personal_care,SPAPI,False
B0CDH47BN9,True,True,True,True,True,True,0.5278379917144775,False,113,beauty_and_personal_care,SPAPI,False
B00MEDOY2G,True,True,True,True,True,True,0.5311610698699951,False,114,beauty_and_personal_care,SPAPI,False
B07N7PK9QK,True,True,True,True,True,True,0.5207810401916504,False,115,beauty_and_personal_care,SPAPI,False
B09VFKGL92,True,True,True,True,True,True,0.5313200950622559,False,116,beauty_and_personal_care,SPAPI,False
B00TTD9BRC,True,True,True,True,True,True,0.5258481502532959,False,117,beauty_and_personal_care,SPAPI,False
B09542G9ZN,True,True,True,True,True,True,0.5203108787536621,False,118,beauty_and_personal_care,SPAPI,False
B08H3JPH74,True,True,True,True,True,True,0.5265388488769531,False,119,beauty_and_personal_care,SPAPI,False
B0BT1WL6KY,True,True,True,True,True,True,0.5148341655731201,False,120,beauty_and_personal_care,SPAPI,False
B0787GLBMV,False,False,False,False,False,False,0.4959259033203125,True,121,beauty_and_personal_care,SPAPI,False
B00PBX3L7K,True,True,True,True,True,True,0.5278501510620117,False,122,beauty_and_personal_care,SPAPI,False
B00949CTQQ,True,True,True,True,True,True,0.5160698890686035,False,123,beauty_and_personal_care,SPAPI,False
B0BX2TZZWG,True,True,True,True,True,True,0.5325009822845459,False,124,beauty_and_personal_care,SPAPI,False
B010GNWPMQ,True,True,True,True,True,True,0.5168731212615967,False,125,beauty_and_personal_care,SPAPI,False
B07BMYD4NX,True,True,True,True,True,True,0.5265228748321533,False,126,beauty_and_personal_care,SPAPI,False
B09MFMCTRK,True,True,True,True,True,True,0.5578570365905762,False,127,beauty_and_personal_care,SPAPI,False
B07QZ5CTTF,True,True,True,True,True,True,0.5123977661132812,False,128,beauty_and_personal_care,SPAPI,False
B07RK4HST7,True,True,True,True,True,True,0.5126378536224365,False,129,beauty_and_personal_care,SPAPI,False
B00SNPCSUY,True,True,True,True,True,True,0.5108990669250488,False,130,beauty_and_personal_care,SPAPI,False
B01MSSDEPK,True,True,True,True,True,True,0.5204641819000244,False,131,beauty_and_personal_care,SPAPI,False
B08H4FSGDX,True,True,True,True,True,True,0.5273349285125732,False,132,beauty_and_personal_care,SPAPI,False
B09SP2XHKT,True,True,True,True,True,True,0.5254571437835693,False,133,beauty_and_personal_care,SPAPI,False
B01BMMOAFU,True,True,True,True,True,True,0.5168330669403076,False,134,beauty_and_personal_care,SPAPI,False
B0BVPNQW1C,True,True,True,True,True,True,0.5225629806518555,False,135,beauty_and_personal_care,SPAPI,False
B000IEMGGE,True,True,True,True,True,True,0.5199201107025146,False,136,beauty_and_personal_care,SPAPI,False
B088W7L534,True,True,True,True,True,True,0.512631893157959,False,137,beauty_and_personal_care,SPAPI,False
B0CMJXGCFQ,True,True,True,True,True,True,0.5420498847961426,False,138,beauty_and_personal_care,SPAPI,False
B004Y9GTOO,True,True,True,True,True,True,0.5128660202026367,False,139,beauty_and_personal_care,SPAPI,False
B079FV6PRH,True,True,True,True,True,True,0.5346729755401611,False,140,beauty_and_personal_care,SPAPI,False
B08SNSSTPZ,True,True,True,True,True,True,0.5189917087554932,False,141,beauty_and_personal_care,SPAPI,False
B000H3EO3O,True,True,True,True,True,True,0.5138678550720215,False,142,beauty_and_personal_care,SPAPI,False
B07GKVBQDG,True,True,True,True,True,True,0.5216457843780518,False,143,beauty_and_personal_care,SPAPI,False
B0BLXZ4YBJ,True,True,True,True,True,True,0.5202088356018066,False,144,beauty_and_personal_care,SPAPI,False
B01HTJTMF8,True,True,True,True,True,True,0.5250258445739746,False,145,beauty_and_personal_care,SPAPI,False
B09W18N3GT,True,True,True,True,True,True,0.5238559246063232,False,146,beauty_and_personal_care,SPAPI,False
B07GB3NVN1,True,True,True,True,True,True,0.5220048427581787,False,147,beauty_and_personal_care,SPAPI,False
B0054LHI5A,True,True,True,True,True,True,0.5270462036132812,False,148,beauty_and_personal_care,SPAPI,False
B06XF2TR11,True,True,True,True,True,True,0.5130879878997803,False,149,beauty_and_personal_care,SPAPI,False
B00WAJAKOU,True,True,True,True,True,True,0.5320401191711426,False,150,beauty_and_personal_care,SPAPI,False
B07MWSXPT1,True,True,True,True,True,True,0.5166261196136475,False,151,beauty_and_personal_care,SPAPI,False
B085WR175L,True,True,True,True,True,True,0.5345668792724609,False,152,beauty_and_personal_care,SPAPI,False
B08HYW2MKG,True,True,True,True,True,True,0.5275452136993408,False,153,beauty_and_personal_care,SPAPI,False
B000TG63EW,True,True,True,True,True,True,0.5203759670257568,False,154,beauty_and_personal_care,SPAPI,False
B00365DABC,True,True,True,True,True,True,0.5241799354553223,False,155,beauty_and_personal_care,SPAPI,False
B004WRCXRA,True,True,True,True,True,True,0.5219597816467285,False,156,beauty_and_personal_care,SPAPI,False
