asin,title,brand,manufacturer,description,images,price,stars,ratings_quantity,time,is_empty,id,category,method,is_valid
B08KXKVT4K,True,False,False,True,True,True,True,True,5.454697132110596,False,57,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07VQZSLDW,True,False,False,True,True,True,True,True,4.966485977172852,False,58,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07NYR18X4,True,False,False,True,True,True,True,True,5.9796302318573,False,59,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B08YDJS51B,False,False,False,False,False,False,False,False,7.58881688117981,True,60,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B005BV0DD2,True,False,False,True,True,False,True,True,2.072648048400879,False,61,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07JMDYDVJ,False,False,False,False,False,False,False,False,7.487107992172241,True,62,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0CWRHLCBP,False,False,False,False,False,False,False,False,7.521559000015259,True,63,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07XFQVN57,True,False,False,True,True,True,True,True,6.422865867614746,False,64,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07BYCHMVY,True,False,False,True,True,False,True,True,5.703138113021851,False,65,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0C4Z6SKCS,True,False,False,True,True,False,True,True,3.197108268737793,False,66,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0B7WQVYGF,True,False,False,True,True,True,True,True,3.0326571464538574,False,67,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09K4SWZNY,False,False,False,False,False,False,False,False,7.145563125610352,True,68,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0BZR6YBHK,False,False,False,False,False,False,False,False,7.099524974822998,True,69,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0973DGD8P,False,False,False,False,False,False,False,False,7.153656244277954,True,70,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B092VC7VK2,True,False,False,True,True,False,True,True,4.421847105026245,False,71,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B073H8STZ7,True,False,False,True,True,True,True,True,5.066572904586792,False,72,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B08HVJQ2YP,True,False,False,True,True,True,True,True,6.313961982727051,False,73,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B07X3BX7WM,True,False,False,True,True,True,True,True,4.449821949005127,False,74,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B00JH98GR4,True,False,False,True,True,True,True,True,2.884531259536743,False,75,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B09NXMDPS1,True,False,False,True,True,True,True,True,9.505317687988281,False,76,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0BHBP1X1B,True,False,False,True,True,True,True,True,4.465348958969116,False,77,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B078YD8YRD,True,False,False,True,True,True,True,True,2.6927249431610107,False,78,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0158EQJSY,True,False,False,True,True,True,True,True,8.33017611503601,False,79,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
B0BNYR7MQV,True,False,False,True,True,False,True,True,5.0438127517700195,False,80,home_and_kitchen,STATIC_ROTATE_USER_AGENT_RETRIES,False
